,page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
0,1,2,,Creating public value through smart technologies and strategies: From digital services to artificial intelligence and beyond,https://www.emerald.com/insight/content/doi/10.1108/IJPSM-07-2019-0178/full/html,iIDe7r9wDyAJ,"JI Criado, JR Gil-Garcia - International Journal of Public Sector …, 2019 - emerald.com","… Hence, a two-dimensional framework showing the direct and … (ie social media, artificial intelligence or IoT) should address … In particular, this study introduces a conceptual framework to …",431,"https://scholar.google.com/scholar?cites=2310189103512977544&as_sdt=5,32&sciodt=0,32&hl=en&num=20",2310189103512977544,4.0,"https://scholar.google.com/scholar?cluster=2310189103512977544&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",2310189103512977544,PDF,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/ijpsm-07-2019-0178/full/pdf
1,1,3,,Mapping the challenges of Artificial Intelligence in the public sector: Evidence from public healthcare,https://www.sciencedirect.com/science/article/pii/S0740624X17304781,27OsPBoAPAoJ,"TQ Sun, R Medaglia - Government information quarterly, 2019 - Elsevier",… The nascent adoption of Artificial Intelligence (AI) in the public sector is being assessed in … This study aims at mapping the challenges in the adoption of AI in the public sector as …,1170,"https://scholar.google.com/scholar?cites=737464551669019611&as_sdt=5,32&sciodt=0,32&hl=en&num=20",737464551669019611,7.0,"https://scholar.google.com/scholar?cluster=737464551669019611&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",737464551669019611,PDF,cbs.dk,https://research.cbs.dk/files/58401014/rony_medaglia_et_al_mapping_the_challenges_acceptedmanuscript.pdf
2,1,4,,AI governance in the public sector: Three tales from the frontiers of automated decision-making in democratic settings,https://www.sciencedirect.com/science/article/pii/S0308596120300689,gKxmuKbC8ukJ,"M Kuziemski, G Misuraca - Telecommunications policy, 2020 - Elsevier","… a common framework to evaluate the potential impact of the use of AI in the public sector. In … underpinning regulatory framework of data ecosystems, have become crucial policy issues …",846,"https://scholar.google.com/scholar?cites=16857750376515284096&as_sdt=5,32&sciodt=0,32&hl=en&num=20",16857750376515284096,8.0,"https://scholar.google.com/scholar?cluster=16857750376515284096&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",16857750376515284096,PDF,nih.gov,https://pmc.ncbi.nlm.nih.gov/articles/PMC7164913/pdf/main.pdf
3,1,5,,"Big Data and AI–A transformational shift for government: So, what next for research?",https://journals.sagepub.com/doi/abs/10.1177/0952076718780537,IhaGP4dfbuUJ,"I Pencheva, M Esteve… - Public Policy and …, 2020 - journals.sagepub.com","… general concept of artificial intelligence (AI) and its underlying technologies. Over the last decade, there have been dramatic advances in core AI technologies like machine learning, …",429,"https://scholar.google.com/scholar?cites=16532256316614645282&as_sdt=5,32&sciodt=0,32&hl=en&num=20",16532256316614645282,12.0,"https://scholar.google.com/scholar?cluster=16532256316614645282&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",16532256316614645282,PDF,ucl.ac.uk,https://discovery.ucl.ac.uk/id/eprint/10055916/1/Big%20Data%20and%20AI%202018%20Pencheva%20et%20al.pdf
4,1,6,Pdf,"Hello, World: Artificial intelligence and its use in the public sector",https://oecd-opsi.org/wp-content/uploads/2019/11/AI-Report-Print.pdf,sgIN_IzkT0wJ,"J Berryhill, KK Heang, R Clogher… - OECD Working Papers on …, 2019 - oecd-opsi.org",… the extent to which they specifically provide for public sector transformation. It also proposes a potential framework for evaluating a given policy environment in order to align activities to …,379,"https://scholar.google.com/scholar?cites=5498864964217930418&as_sdt=5,32&sciodt=0,32&hl=en&num=20",5498864964217930418,12.0,"https://scholar.google.com/scholar?cluster=5498864964217930418&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",5498864964217930418,PDF,oecd-opsi.org,https://oecd-opsi.org/wp-content/uploads/2019/11/AI-Report-Print.pdf
5,1,7,,Artificial intelligence and the public sector—applications and challenges,https://www.tandfonline.com/doi/abs/10.1080/01900692.2018.1498103,hcvfu2QszdQJ,"BW Wirtz, JC Weyerer, C Geyer - International Journal of Public …, 2019 - Taylor & Francis","… , deriving implications for theory and practice and providing … advances in automation and artificial intelligence will have a … importance in the context of government. In particular, China …",1619,"https://scholar.google.com/scholar?cites=15333961117426764677&as_sdt=5,32&sciodt=0,32&hl=en&num=20",15333961117426764677,4.0,"https://scholar.google.com/scholar?cluster=15333961117426764677&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",15333961117426764677,,,
6,1,8,Book,Text as data: A new framework for machine learning and the social sciences,https://books.google.com/books?hl=en&lr=&id=dL40EAAAQBAJ&oi=fnd&pg=PR1&dq=%22data+science%22+OR+%22artificial+intelligence%22+OR+%22machine+learning%22+OR+%22cognitive+intelligence%22+AND+%22public+policy%22+OR+%22government%22+OR+%22policy%22+OR+%22public+sector%22+OR+%22public+digital+services%22+OR+%22government+innovation%22+OR+%22digital+government%22+OR+%22artificial+for+government%22+AND+%22framework%22+OR+%22typology%22+OR+%22mapping%22+OR+%22classification%22+OR+%22taxonomy%22+OR+%22ontology%22+OR+%22concept%22+OR+theory%22&ots=Hx0RGK_A_A&sig=7XwLDwswfWCd_BrIoMDoM1u8dYk,xFVfxQj-GLMJ,"J Grimmer, ME Roberts, BM Stewart - 2022 - books.google.com",… machine learning methods in the social sciences. For researchers who are familiar with machine learning … Even readers with extensive backgrounds in machine learning may find new …,662,"https://scholar.google.com/scholar?cites=12905344045854709188&as_sdt=5,32&sciodt=0,32&hl=en&num=20",12905344045854709188,5.0,"https://scholar.google.com/scholar?cluster=12905344045854709188&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",12905344045854709188,,,
7,1,9,,IoT and AI for smart government: A research agenda,https://www.sciencedirect.com/science/article/pii/S0740624X19300905,aIUDWhHUwZIJ,"A Kankanhalli, Y Charalabidis, S Mellouli - Government Information …, 2019 - Elsevier","… develop applications and gain knowledge using Artificial Intelligence (AI) techniques. Thus, … However, this is a technical framework and does not cover policy principles or governance …",459,"https://scholar.google.com/scholar?cites=10574966571032348008&as_sdt=5,32&sciodt=0,32&hl=en&num=20",10574966571032348008,,{},{},,,
8,1,10,,Transforming the communication between citizens and government through AI-guided chatbots,https://www.sciencedirect.com/science/article/pii/S0740624X17304008,TXR-YDA0VF0J,"A Androutsopoulou, N Karacapilidis, E Loukis… - Government information …, 2019 - Elsevier","… firms, government agencies have also started adopting various Artificial Intelligence (AI) … to exploit the full potential of AI in the public sector, and leverage various AI technologies to …",866,"https://scholar.google.com/scholar?cites=6725057525952967757&as_sdt=5,32&sciodt=0,32&hl=en&num=20",6725057525952967757,4.0,"https://scholar.google.com/scholar?cluster=6725057525952967757&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",6725057525952967757,PDF,aegean.gr,https://www.icsd.aegean.gr/publication_files/980795393.pdf
9,1,11,,Decolonial AI: Decolonial theory as sociotechnical foresight in artificial intelligence,https://link.springer.com/article/10.1007/s13347-020-00405-8,jT4jaAFDpIAJ,"S Mohamed, MT Png, W Isaac - Philosophy & Technology, 2020 - Springer","… Because of limitations of the theory, we believe it is important … systems, as well as introduce a taxonomy of decolonial foresight: … By using these sites to address the clash of theory and …",854,"https://scholar.google.com/scholar?cites=9269607606356491917&as_sdt=5,32&sciodt=0,32&hl=en&num=20",9269607606356491917,9.0,"https://scholar.google.com/scholar?cluster=9269607606356491917&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",9269607606356491917,PDF,springer.com,https://link.springer.com/content/pdf/10.1007/s13347-020-00405-8.pdf
10,1,12,,Principled artificial intelligence: Mapping consensus in ethical and rights-based approaches to principles for AI,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3518482,pXtJu82omAMJ,"J Fjeld, N Achten, H Hilligoss, A Nagy… - Berkman Klein Center …, 2020 - papers.ssrn.com","… Alongside the rapid development of artificial intelligence (AI) technology, we have witnessed … It is our hope that the Principled Artificial Intelligence project will be of use to policymakers, …",1373,"https://scholar.google.com/scholar?cites=259142580137720741&as_sdt=5,32&sciodt=0,32&hl=en&num=20",259142580137720741,15.0,"https://scholar.google.com/scholar?cluster=259142580137720741&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",259142580137720741,PDF,ssrn.com,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3518482
11,1,13,,Applications of artificial intelligence and machine learning in smart cities,https://www.sciencedirect.com/science/article/pii/S0140366419320821,l1UtUNRQwDgJ,"Z Ullah, F Al-Turjman, L Mostarda, R Gagliardi - Computer communications, 2020 - Elsevier","… the role of artificial intelligence (AI), machine learning (ML), … used to design optimal policy regarding various smart city-… play an outstanding role to realize the concept of a smart city. …",919,"https://scholar.google.com/scholar?cites=4089357334460847511&as_sdt=5,32&sciodt=0,32&hl=en&num=20",4089357334460847511,4.0,"https://scholar.google.com/scholar?cluster=4089357334460847511&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",4089357334460847511,PDF,researchgate.net,https://www.researchgate.net/profile/Zaib-Ullah-3/publication/339620997_Applications_of_Artificial_Intelligence_and_Machine_learning_in_smart_cities/links/6332b06b165ca2278776b65e/Applications-of-Artificial-Intelligence-and-Machine-learning-in-smart-cities.pdf
12,1,14,Pdf,International conference on machine learning,https://par.nsf.gov/servlets/purl/10418406,gUoVCWuQbkcJ,"W Li, C Wang, G Cheng, Q Song - Transactions on machine learning …, 2023 - par.nsf.gov",… this framework without specifying the forms of statistical error and uncertainty quantifier. Our framework and … Our framework also inspires us to propose a better measure of the statistical …,2950,"https://scholar.google.com/scholar?cites=5147210213519346305&as_sdt=5,32&sciodt=0,32&hl=en&num=20",5147210213519346305,2.0,"https://scholar.google.com/scholar?cluster=5147210213519346305&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",5147210213519346305,PDF,nsf.gov,https://par.nsf.gov/servlets/purl/10418406
13,1,15,,Mapping the landscape of artificial intelligence applications against COVID-19,http://www.jair.org/index.php/jair/article/view/12162,fCb2Qh0657MJ,"J Bullock, A Luccioni, KH Pham, CSN Lam… - … of Artificial Intelligence …, 2020 - jair.org","… of recent studies using Machine Learning and, more broadly, Artificial Intelligence, to tackle … We also review datasets, tools, and resources needed to facilitate Artificial Intelligence …",609,"https://scholar.google.com/scholar?cites=12963393949761152636&as_sdt=5,32&sciodt=0,32&hl=en&num=20",12963393949761152636,12.0,"https://scholar.google.com/scholar?cluster=12963393949761152636&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",12963393949761152636,PDF,jair.org,https://www.jair.org/index.php/jair/article/download/12162/26622
14,1,16,Html,Covid-19 public sentiment insights and machine learning for tweets classification,https://www.mdpi.com/2078-2489/11/6/314,QqoUIpeM4JQJ,"J Samuel, GGMN Ali, MM Rahman, E Esawi, Y Samuel - Information, 2020 - mdpi.com","… essential machine learning (ML) classification … classification accuracy of 91% for short Tweets, with the Naïve Bayes method. We also observe that the logistic regression classification …",554,"https://scholar.google.com/scholar?cites=10727728893136251458&as_sdt=5,32&sciodt=0,32&hl=en&num=20",10727728893136251458,22.0,"https://scholar.google.com/scholar?cluster=10727728893136251458&hl=en&num=20&as_sdt=0,32&as_ylo=2018&as_yhi=2023",10727728893136251458,HTML,mdpi.com,https://www.mdpi.com/2078-2489/11/6/314
